source,product_id,sku,name,english_name,brand,url,image,num_images,market_price,price,discount_percent,has_voucher,voucher_text,price_min,price_max,rating_average,sold_count,sold_count_30d,comment_count,comment_with_image_count,review_count,star_breakdown,category_path,product_type,tags,stock_quantity,num_variants,promotion_text,announce_number,available,crawl_category_key,crawl_category_name,scraped_at,num_comments_sampled,num_reviews_sampled
hasaki,102959,422208973,Sữa Rửa Mặt CeraVe Sạch Sâu Cho Da Thường Đến Da Dầu 473ml,Foaming Cleanser,CeraVe,https://hasaki.vn/san-pham/sua-rua-mat-cerave-sach-sau-cho-da-thuong-den-da-dau-473ml-102959.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-cerave-sach-sau-cho-da-thuong-den-da-dau-473ml_eDt68uXxhPr112EE.png,12,490000,369000,25,True,64.000 ₫,369000,490000,4.9,1397,515290000,625,1,116,"{""5"": 106, ""4"": 10, ""3"": 0, ""2"": 0, ""1"": 0}",Chăm Sóc Da Mặt / Làm Sạch Da / Sữa Rửa Mặt,,,52143,1,Bill Cerave 349K Tặng Sữa Rửa Mặt Cerave 30ml (SL có hạn),Số công bố với Bộ Y Tế : 169170/22/CBMP-QLD,,cham-soc-da-mat-c4,,2026-06-09T08:15:46+07:00,5,5
hasaki,96589,422204884,Combo 2 Nước Tẩy Trang Bí Đao Cocoon Làm Sạch & Giảm Dầu 500ml,Winter Melon Micellar Water,Cocoon,https://hasaki.vn/san-pham/combo-2-nuoc-tay-trang-bi-dao-cocoon-lam-sach-giam-dau-500ml-96589.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-nuoc-tay-trang-bi-dao-cocoon-lam-sach-giam-dau-500ml_sSwZEW4iB445EbMi.png,8,590000,279000,53,True,16.000 ₫,279000,590000,5,1367,381276000,319,2,57,"{""5"": 56, ""4"": 1, ""3"": 0, ""2"": 0, ""1"": 0}",Chăm Sóc Da Mặt / Làm Sạch Da / Tẩy Trang Mặt,,,12223,1,,,,cham-soc-da-mat-c4,,2026-06-09T08:15:48+07:00,5,5
hasaki,124096,422222531,Combo Cocoon Nước Cân Bằng Sen Hậu Giang 310ml + Nước Tẩy Trang Bí Đao 500ml,Hau Giang Lotus Soothing Toner + Winter Melon Micellar Water,Cocoon,https://hasaki.vn/san-pham/combo-cocoon-nuoc-can-bang-sen-hau-giang-310ml-nuoc-tay-trang-bi-dao-500ml-124096.html,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-cocoon-nuoc-can-bang-sen-hau-giang-310ml-nuoc-tay-trang-bi-dao-500ml-1741320900.jpg,8,590000,259000,56,True,,259000,590000,4.9,1301,336832000,162,3,13,"{""5"": 12, ""4"": 1, ""3"": 0, ""2"": 0, ""1"": 0}",Chăm Sóc Da Mặt / Bộ Chăm Sóc Da Mặt,,,12445,1,,,,cham-soc-da-mat-c4,,2026-06-09T08:15:49+07:00,5,5
